*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,*Title,*ConditionID,CD:Card Condition - (ID: 40001),*C:Sport,C:Player/Athlete,C:Manufacturer,C:Season,C:Set,C:Team,C:Autographed,C:Card Number,C:Type,C:Year Manufactured,C:Language,PicURL,*Description,*Format,*Duration,*StartPrice,*Quantity,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,*DispatchTimeMax,*ReturnsAcceptedOption
Add,FBPU_0011,261328,1971 Topps Football Pin-Ups #2 Andy Russell Pittsburgh Steelers,4000,400012,Football,Andy Russell,Topps,1971,1971 Topps Football Pin-Ups,Pittsburgh Steelers,No,2,Trading Card,1971,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0011_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0011_b.webp,<p><strong>1971 Topps Football Pin-Ups</strong></p><ul><li>Player: Andy Russell</li><li>Team: Pittsburgh Steelers</li><li>Card Number: 2</li></ul><p><strong>Condition Notes</strong></p><ul><li>Folded in quarters (vertical and horizontal crease lines visible)</li><li>Small white ripple/fold above right eyebrow</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,FBPU_0012,261328,1971 Topps Football Pin-Ups #5 Fran Tarkenton New York Giants,4000,400012,Football,Fran Tarkenton,Topps,1971,1971 Topps Football Pin-Ups,New York Giants,No,5,Trading Card,1971,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0012_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0012_b.webp,<p><strong>1971 Topps Football Pin-Ups</strong></p><ul><li>Player: Fran Tarkenton</li><li>Team: New York Giants</li><li>Card Number: 5</li></ul><p><strong>Condition Notes</strong></p><ul><li>Multiple horizontal and vertical fold creases</li><li>Minor surface wear</li><li>Minor edge and corner wear</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,FBPU_0013,261328,1971 Topps Football Pin-Ups #11 Bob Hayes Dallas Cowboys,4000,400012,Football,Bob Hayes,Topps,1971,1971 Topps Football Pin-Ups,Dallas Cowboys,No,11,Trading Card,1971,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0013_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0013_b.webp,<p><strong>1971 Topps Football Pin-Ups</strong></p><ul><li>Player: Bob Hayes</li><li>Team: Dallas Cowboys</li><li>Card Number: 11</li></ul><p><strong>Condition Notes</strong></p><ul><li>Multiple horizontal and vertical fold creases</li><li>Minor surface wear</li><li>Minor edge and corner wear</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,FBPU_0014,261328,1971 Topps Football Pin-Ups #8 Roman Gabriel Los Angeles Rams,4000,400012,Football,Roman Gabriel,Topps,1971,1971 Topps Football Pin-Ups,Los Angeles Rams,No,8,Trading Card,1971,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0014_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0014_b.webp,<p><strong>1971 Topps Football Pin-Ups</strong></p><ul><li>Player: Roman Gabriel</li><li>Team: Los Angeles Rams</li><li>Card Number: 8</li></ul><p><strong>Condition Notes</strong></p><ul><li>Multiple horizontal and vertical fold creases</li><li>Minor surface wear</li><li>Minor edge and corner wear</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0008_01,261328,1994 Stadium Club #0 Michael Barrow Houston Oilers,4000,400012,Football,Michael Barrow,Topps,1994,Stadium Club,Houston Oilers,No,0,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0008_01_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0008_01_b.webp,<p><strong>1994 Stadium Club</strong></p><ul><li>Player: Michael Barrow</li><li>Team: Houston Oilers</li><li>Card Number: 0</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0008_02,261328,1994 Collector's Choice Roberto Alomar; Frank Thomas Toronto Blue Jays; Chicago,4000,400012,Baseball,Roberto Alomar; Frank Thomas,Upper Deck,1994,Collector's Choice,Toronto Blue Jays; Chicago White Sox,No,,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0008_02_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0008_02_b.webp,<p><strong>1994 Collector's Choice</strong></p><ul><li>Player: Roberto Alomar; Frank Thomas</li><li>Team: Toronto Blue Jays; Chicago White Sox</li><li>Card Number: </li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0009_01,261328,1994 Collector's Choice #632 Barry Bonds San Francisco Giants,4000,400012,Baseball,Barry Bonds,Upper Deck,1994,Collector's Choice,San Francisco Giants,No,632,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0009_01_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0009_01_b.webp,<p><strong>1994 Collector's Choice</strong></p><ul><li>Player: Barry Bonds</li><li>Team: San Francisco Giants</li><li>Card Number: 632</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0009_02,261328,1995 Topps #130T Lyle Mouton; Mariano Rivera Chicago White Sox; New York Yankees,4000,400012,Baseball,Lyle Mouton; Mariano Rivera,Topps,1995,Topps,Chicago White Sox; New York Yankees,No,130T,Trading Card,1995,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0009_02_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0009_02_b.webp,<p><strong>1995 Topps</strong></p><ul><li>Player: Lyle Mouton; Mariano Rivera</li><li>Team: Chicago White Sox; New York Yankees</li><li>Card Number: 130T</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0010_01,261328,1994 Topps #792,4000,400012,Baseball,,Topps,1994,Topps,,No,792,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0010_01_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0010_01_b.webp,<p><strong>1994 Topps</strong></p><ul><li>Player: </li><li>Team: </li><li>Card Number: 792</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
Add,MISC_001_B_0010_02,261328,1994 Topps #791,4000,400012,Baseball,,Topps,1994,Topps,,No,791,Trading Card,1994,English,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0010_02_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/MISC_001_B_0010_02_b.webp,<p><strong>1994 Topps</strong></p><ul><li>Player: </li><li>Team: </li><li>Card Number: 791</li></ul><p><strong>Condition Notes</strong></p><ul><li>Please review photos for condition.</li></ul><p>Please review all photos carefully before purchase.</p>,FixedPrice,GTC,25.00,1,"Kansas City, MO",Flat,USPSPriority,0.00,1,ReturnsNotAccepted
